design,arm,alpha,group,n,pooled_raw_ratio,mean_raw_ratio,wins,p90,worst,pooled_cross_ratio,mean_downstream_anchor_error_ratio,mean_unweighted_anchor_error_ratio,mean_cosine
full129,companion_16_mean_only,0.13727432070132226,validation,8,1.0903225198334885,1.0213207023494688,3,1.3598470656809645,1.4768756882923604,1.0963684568398664,8.954592513402506,4.235039875601645,0.20272852427945973
full129,companion_16_mean_only,0.13727432070132226,expansion,8,0.7274753566512895,0.7886805363327369,7,0.9978953137119355,1.0972131996103949,0.7112354180000112,9.035989700089402,4.597810545742288,0.462677664549183
full129,companion_16_mean_only,0.13727432070132226,rotation,4,1.0163451839269806,0.9411775721071151,3,1.0635835472179824,1.1278694327693477,1.0171255900104992,5.853302264922382,3.7487626173083606,0.2213986704971567
full129,companion_16_mean_only,0.13727432070132226,rotation_expansion,8,0.782586322730653,0.8965228707080919,5,1.1327279420608236,1.2605980915828117,0.769213544162994,10.161585335753543,4.685023512059931,0.3498511748435422
full129,companion_2,0.016048978311212266,train_dev,16,0.9817216350127945,0.9982093624569068,8,1.154557106840136,1.248602947111735,0.9796323893649513,121.23024089327603,40.085222525035654,0.09765930211108109
full129,companion_2,0.016048978311212266,calib_dev,8,0.9662356426275792,0.9653118130089746,6,1.0367741444329162,1.0985339341180391,0.9628733947142677,113.20898067499334,38.34129806453064,0.20923517252481605
full129,companion_2,0.016048978311212266,validation,8,0.9964615197362534,1.0073634172645978,5,1.1271053251057859,1.1856247976389143,0.9962246637582279,70.1267063376649,31.438014241720353,0.09420215877049724
full129,companion_2,0.016048978311212266,expansion,8,0.9511844041049994,0.9767508625411518,4,1.0881102868805976,1.1970652008159606,0.9482754477889058,69.5265266411343,33.40652476166055,0.1671387698268392
full129,companion_2,0.016048978311212266,rotation,4,0.9810741137028305,0.9531271220059453,3,1.0078802677576872,1.0120510214148333,0.9801704911514871,58.01584330766222,23.383001061423784,0.1963736329329006
full129,companion_2,0.016048978311212266,rotation_expansion,8,0.9971448130802363,1.0151009241930862,2,1.1116849757359748,1.130977389727782,0.9969691949547953,78.63079273163034,32.764763920494154,-0.06440096483399471
full129,companion_2_mean_only,0.015390969339713045,train_dev,16,0.9832950570031409,0.9986631054227153,8,1.151855356199523,1.2284668791038225,0.9813856559446715,123.15399925687717,40.18829013748184,0.0969448307669617
full129,companion_2_mean_only,0.015390969339713045,calib_dev,8,0.9669429068730974,0.9657222162619317,6,1.033595840449365,1.0899548037244622,0.9636510881910436,107.47381136241388,37.21148377585287,0.2086611626040458
