config,mode,unshrunk_gain,unshrunk_wins,unshrunk_worst,global_alpha,global_shrink_gain,global_shrink_ci,global_shrink_wins,global_shrink_worst,lono_alpha_mean,lono_shrink_gain,lono_shrink_ci,lono_shrink_wins,lono_shrink_worst
sigtanh_k4_hp|ridge=10|rank=16,cf4,1.0066956622836607,4,1.0130682173176888,2.0,1.0133431067637395,"[0.8420479822273825, 1.2154276743400465]",4,1.0258989035272577,2.0,1.0133431067637395,"[0.8621442901936933, 1.174006568501936]",4,1.0258989035272577
sigtanh_k4_hp|ridge=10|rank=full,cf4,1.0066955960442088,4,1.0130682112868235,2.0,1.0133429725854124,"[0.8434185039733344, 1.1740057929043937]",4,1.025898891502008,2.0,1.0133429725854124,"[0.8630246252432915, 1.1889391456695877]",4,1.025898891502008
sigtanh_k4_hp|ridge=10|rank=8,cf4,1.0066326382986337,4,1.0130004336984542,2.0,1.0132158297220009,"[0.8419854015938795, 1.1737626766463527]",4,1.025762574727601,2.0,1.0132158297220009,"[0.8620186381927322, 1.215203803273839]",4,1.025762574727601
harm_k4_d6_8_10|ridge=1|rank=full,cf4,1.009308911213717,5,3.5997700015693566,2.0,1.016706748620216,"[0.5840237827527918, 1.4247392424495529]",5,6.091168242725007,1.9397939195770566,1.0131855480006833,"[0.6708439757120641, 1.337532664154181]",5,4.904717881493001
tanh_k2_hp|ridge=0.1|rank=4,full,1.006688486718027,6,1.9586401106765612,2.0,1.0130689973788625,"[0.8606500408176948, 1.1343285869449335]",6,2.906361937686272,2.0,1.0130689973788625,"[0.8553263268943152, 1.1447615202663248]",6,2.906361937686272
harm_k4_d6_8_10|ridge=10|rank=full,full,1.0063651047277913,7,1.8853457572088035,2.0,1.0126935704600168,"[0.8873853718544094, 1.1170745459795637]",7,2.758962644970087,2.0,1.0126935704600168,"[0.8972070992854215, 1.1311608542202989]",7,2.758962644970087
harm_k4_d6_8_10|ridge=10|rank=8,full,1.0063515291163476,7,1.8743783182628453,2.0,1.0126663443999742,"[0.8881700460189333, 1.1311884834981054]",7,2.737035204811904,2.0,1.0126663443999742,"[0.8762509979670704, 1.1243638801796054]",7,2.737035204811904
sigtanh_k4_hp|ridge=1e-05|rank=16,full,1.0104571689327573,6,3.551073862078329,2.0,1.017113011758904,"[0.6132602789671663, 1.3526522212781393]",6,5.938669543692276,1.9147682517710163,1.012477346828261,"[0.740520138008243, 1.322256981247647]",6,4.481496105676717
harm_k4_d6_8|ridge=10|rank=4,full,1.0061324768454065,7,1.4137325461440997,2.0,1.012268038416282,"[0.9358421651959772, 1.0959346259563936]",7,1.8240654349638254,2.0,1.012268038416282,"[0.9355173114413645, 1.0947113569584674]",7,1.8240654349638254
harm_k4_d6_8|ridge=10|rank=full,full,1.0059966004028797,7,1.4001365031164112,2.0,1.0119912778975517,"[0.9203706938547707, 1.0915622417916468]",7,1.7968101518891895,2.0,1.0119912778975517,"[0.9364750096758941, 1.0965839753218856]",7,1.7968101518891895
harm_k4_d6_8|ridge=10|rank=8,full,1.0059966004028797,7,1.4001365031164112,2.0,1.0119912778975517,"[0.937908032138793, 1.0941438431331394]",7,1.7968101518891895,2.0,1.0119912778975517,"[0.935350475618203, 1.091924355660255]",7,1.7968101518891895
harm_k4_d6_8|ridge=10|rank=2,full,1.0059845432842696,7,1.4267515652082041,2.0,1.0119729482502364,"[0.9351534325286505, 1.1006574782149259]",7,1.850325467942973,2.0,1.0119729482502364,"[0.9165523325922801, 1.1039138683002174]",7,1.850325467942973
harm_k4_d6_8_10|ridge=10|rank=4,full,1.0059734038923314,7,1.8924231384954766,2.0,1.0119044127938202,"[0.8880493020908028, 1.1156477634552668]",7,2.773202538509038,2.0,1.0119044127938202,"[0.8790498369704657, 1.1277733101573424]",7,2.773202538509038
sigtanh_k4_hp|ridge=10|rank=4,full,1.005730552154529,5,1.0229105455254548,2.0,1.0114375135431801,"[0.9072065264297265, 1.117915807435495]",5,1.042891206486344,2.0,1.0114375135431801,"[0.9212431977547546, 1.098603939919257]",5,1.042891206486344
harm_k4_d6_8_10|ridge=10|rank=2,full,1.0057025800700485,7,1.9166238642125122,2.0,1.0113644894782388,"[0.8873323296132659, 1.1244450288948946]",7,2.8220349566077516,2.0,1.0113644894782388,"[0.8753559931604401, 1.1198680908786245]",7,2.8220349566077516
