config,mode,gain,wins,worst,alpha,shrink_gain,shrink_wins,shrink_worst,ci
harm68_k16|ridge=10,cf4,1.001598035563282,4,1.0132352054409732,2.0,1.0025987635092768,4,1.0267012019536887,"[0.9863033419609469, 1.0235582654663362]"
harm68_k4|ridge=10,cf4,1.0015850284282461,4,1.0134777540276003,2.0,1.0025666355317966,4,1.0272007271559884,"[0.9860473597732051, 1.023598806041119]"
harm68_k8|ridge=10,cf4,1.001580448612581,4,1.0133034543907296,2.0,1.0025633388139437,4,1.0268419685558992,"[0.9862188458111418, 1.0232613150579266]"
sigtanh_k4|ridge=100,cf4,1.0015772558512388,4,1.0140571159468694,2.0,1.002549137632707,4,1.0283702341925212,"[0.9853737058467933, 1.0237782669818336]"
sigtanh_k2|ridge=100,cf4,1.0015767509610984,3,1.0140113125949992,2.0,1.0025481347426382,3,1.0282788070838595,"[0.9853954142059123, 1.023711678325909]"
sigtanh_k16|ridge=100,cf4,1.0015710426528621,4,1.014024195050968,2.0,1.0025372306199845,4,1.028301592781348,"[0.985187117306269, 1.023537498004473]"
sigtanh_k8|ridge=100,cf4,1.001569203887561,4,1.014038481405064,2.0,1.0025334940470794,4,1.0283317948055042,"[0.9852478556477337, 1.023752731957351]"
harm68_k2|ridge=10,cf4,1.0014712615780341,3,1.013378986921158,2.0,1.0023394992754495,3,1.0270032847408945,"[0.9859140037126722, 1.023207273460232]"
tanh_k4|ridge=10,cf4,1.0009821509899952,4,1.015226782904078,2.0,1.00135449258061,4,1.0307243895982043,"[0.9836458078061916, 1.0234328014185492]"
tanh_k2|ridge=10,cf4,1.0009619147808935,3,1.0150121126438696,2.0,1.0013147652869863,3,1.030295426076489,"[0.9835663698276097, 1.0230859539957575]"
tanh_k8|ridge=10,cf4,1.00095709291483,4,1.015130915656495,2.0,1.0013073633543284,4,1.0305264821909181,"[0.9836581267416821, 1.0231353693790262]"
tanh_k16|ridge=10,cf4,1.0009563523736824,4,1.0150563672305493,2.0,1.0013058243367476,4,1.0303720671441723,"[0.983583246820767, 1.0230397993482887]"
sigmoid_k16|ridge=0.01,full,1.0006548533415551,6,1.0257241897863028,2.0,1.0010418721333905,6,1.0519740916625908,"[0.9828392708991209, 1.0135363884103061]"
harm68_k16|ridge=10,full,1.0005197573576852,6,1.0009107171012839,2.0,1.0010346206375085,6,1.001835735141282,"[0.99962496104888, 1.0024883796318051]"
harm68_k8|ridge=10,full,1.0005156783485092,6,1.0008893292424417,2.0,1.0010267731382791,6,1.0017925675621755,"[0.9996452822938771, 1.0024422795887182]"
sigtanh_k16|ridge=0.1,full,1.00060126477603,6,1.0240035300108254,2.0,1.0009698862593366,6,1.048448687533245,"[0.9841613774803036, 1.0123661470585887]"
harm68_k4|ridge=10,full,1.0004564028028382,6,1.0009198539336497,2.0,1.000908530635278,6,1.0018533600885584,"[0.9995628012960744, 1.002232393234023]"
sigmoid_k2|ridge=10,cf4,1.0007490942437476,3,1.0139168830991612,1.75,1.000901978031262,3,1.0245223658699714,"[0.9862061250971459, 1.0196125771927063]"
sigmoid_k4|ridge=10,cf4,1.0007331943572748,4,1.0141073654201438,1.75,1.0008740526444948,4,1.0248553718225741,"[0.9859581911570573, 1.0196762515458413]"
harm68_k2|ridge=10,full,1.0004148250970168,7,1.001149237505423,2.0,1.000825697845196,7,1.0023119488335435,"[0.9992914302510572, 1.0022638459148887]"
sigmoid_k16|ridge=10,cf4,1.000702725610736,4,1.0139881289717925,1.75,1.000821061462048,4,1.0246397394771143,"[0.9860614846518565, 1.019541205843596]"
sigmoid_k8|ridge=10,cf4,1.0006867328860036,4,1.0140393619562789,1.5,1.0007967243982983,4,1.021153394749361,"[0.9881057136733524, 1.0167927826425158]"
harm68_k16|ridge=1,cf4,1.0006121746658223,3,1.0085576027966656,1.25,1.0006504478912503,3,1.0107237180434745,"[0.9922807670838761, 1.0135476742198701]"
harm68_k8|ridge=1,cf4,1.0004800115792722,3,1.0088540224085276,1.25,1.0004866979803198,3,1.0110944882599364,"[0.9921273399156861, 1.0131164529317478]"
harm68_k4|ridge=1,cf4,1.0004454726375704,3,1.0097288268665452,1.0,1.0004454726375704,3,1.0097288268665452,"[0.9937179175527634, 1.0104850978501874]"
sigtanh_k8|ridge=0.1,full,1.0003152323922058,6,1.023871778616619,2.0,1.0004305815173538,6,1.048167979822636,"[0.983739139239187, 1.0118932559748113]"
