adjusted_score,approximation_max_abs_vs_baseline,approximation_mse_vs_baseline,candidate,effective_compute,fallback,index,kink_counts_json,name,predicted_cost_ratio,raw_final_mse,residual_wall_time_s,selected_depth,timings_json,tracked_flops
9.031834081417967e-08,5.5319980660439e-05,1.1803396729956912e-10,adaptive_2_6,195920028542.86383,False,7,"[124, 123, 111]",robert-huff,0.9732270240783691,1.2539089997162865e-07,0.03962655644863844,3,"{""classification_selection_s"": 0.009927667211741209, ""pilot_pack_s"": 0.0003508341033011675, ""pilot_rollout_s"": 0.0031897909939289093, ""prefix_propagation_s"": 12.988266417058185, ""selected_anchor_extension_s"": 1.5652889590710402, ""symbolic_composition_s"": 0.09322120808064938}",191957372898
1.9251589359858305e-07,5.402126937902482e-05,1.449904659464707e-10,adaptive_2_6,191354589197.36957,False,8,"[90, 99, 90, 71]",kimberly-caldwell,0.9434361457824707,2.7365073018867746e-07,0.04486921243369579,4,"{""classification_selection_s"": 0.010544666089117527, ""pilot_pack_s"": 0.00044687511399388313, ""pilot_rollout_s"": 0.0033236672170460224, ""prefix_propagation_s"": 13.600120875053108, ""selected_anchor_extension_s"": 1.1778322919271886, ""symbolic_composition_s"": 0.09246758301742375}",186867667954
7.658795074477979e-08,2.06598051590845e-05,2.1328543113970726e-11,adaptive_2_6,194055115158.77283,False,9,"[106, 115, 118]",annette-hansen,0.9688091278076172,1.0735054618650869e-07,0.04573863418772817,3,"{""classification_selection_s"": 0.011356167029589415, ""pilot_pack_s"": 0.0004217091482132673, ""pilot_rollout_s"": 0.0036723751109093428, ""prefix_propagation_s"": 13.719355000182986, ""selected_anchor_extension_s"": 1.767893583048135, ""symbolic_composition_s"": 0.08692241716198623}",189481251740
4.605368681719293e-08,6.577558756037938e-05,5.066183162393814e-11,adaptive_2_6,191570752973.16504,False,10,"[106, 111, 106]",emma-potter,0.9651870727539062,6.538891046709613e-08,0.04129136307165027,3,"{""classification_selection_s"": 0.011805957881733775, ""pilot_pack_s"": 0.0004193331114947796, ""pilot_rollout_s"": 0.0033399160020053387, ""prefix_propagation_s"": 13.182612791890278, ""selected_anchor_extension_s"": 1.5935157090425491, ""symbolic_composition_s"": 0.07778183300979435}",187441616666
1.7087425209770825e-07,6.858922808805623e-05,3.3428865489647865e-10,adaptive_2_6,197657723404.89157,False,11,"[89, 79, 75, 64, 68, 68]",alan-campbell,0.9113268852233887,2.3514283059594538e-07,0.05865161120891571,6,"{""classification_selection_s"": 0.01073070801794529, ""pilot_pack_s"": 0.0004316670820116997, ""pilot_rollout_s"": 0.003687791060656309, ""prefix_propagation_s"": 13.887589540798217, ""selected_anchor_extension_s"": 6.668269634246826e-07, ""symbolic_composition_s"": 0.16366166714578867}",191792562284
1.105431448878074e-07,8.35868466773082e-05,5.678672891739315e-10,adaptive_2_6,195532777190.77417,False,12,"[94, 90, 99, 90]",steven-williams,0.9493036270141602,1.5377337672725645e-07,0.05485444748774171,4,"{""classification_selection_s"": 0.010688041104003787, ""pilot_pack_s"": 0.0003867081832140684, ""pilot_rollout_s"": 0.003808917012065649, ""prefix_propagation_s"": 13.261366042075679, ""selected_anchor_extension_s"": 1.0877028750255704, ""symbolic_composition_s"": 0.07690241583622992}",190047332442
6.137354603009278e-08,0.00010344415410135088,1.5871291845084373e-10,adaptive_2_6,193656771335.0385,False,13,"[113, 117, 102]",hannah-best,0.9671978950500488,8.620201816390009e-08,0.05079776491038501,3,"{""classification_selection_s"": 0.010705415857955813, ""pilot_pack_s"": 0.00040258397348225117, ""pilot_rollout_s"": 0.004023082787171006, ""prefix_propagation_s"": 13.300694291014224, ""selected_anchor_extension_s"": 1.562163416063413, ""symbolic_composition_s"": 0.09993216604925692}",188576994844
3.0088392795339555e-07,0.0001854922179342067,5.376460858456699e-10,adaptive_2_6,202901520388.10858,False,14,"[81, 77, 74, 86, 86, 83]",thomas-parsons,0.9249005317687988,4.033504936127625e-07,0.03611830552108586,6,"{""classification_selection_s"": 0.010276416083797812, ""pilot_pack_s"": 0.0003974579740315676, ""pilot_rollout_s"": 0.0036044581793248653, ""prefix_propagation_s"": 13.01617195783183, ""selected_anchor_extension_s"": 7.08969309926033e-07, ""symbolic_composition_s"": 0.1431043748743832}",199289689836
1.2107549499351362e-07,6.629674390405994e-05,1.3373518535235196e-10,adaptive_2_6,187310123218.83246,False,15,"[123, 132]",kenneth-frost,0.9783229827880859,1.7581823167005752e-07,0.03933499124832451,2,"{""classification_selection_s"": 0.010295124957337976, ""pilot_pack_s"": 0.00036349985748529434, ""pilot_rollout_s"": 0.0033812918700277805, ""prefix_propagation_s"": 13.112776624970138, ""selected_anchor_extension_s"": 2.0980640000198036, ""symbolic_composition_s"": 0.048856624867767096}",183376624094
8.480746100658328e-08,0.00010858182238160374,7.64111696196718e-11,adaptive_2_6,187030601677.85828,False,16,"[122, 127]",joseph-shaffer,0.9772367477416992,1.2333612353727206e-07,0.04263336327858269,2,"{""classification_selection_s"": 0.011252625146880746, ""pilot_pack_s"": 0.0003917079884558916, ""pilot_rollout_s"": 0.0033657909370958805, ""prefix_propagation_s"": 13.409930916968733, ""selected_anchor_extension_s"": 2.0401082921307534, ""symbolic_composition_s"": 0.049033917021006346}",182767265350
1.308330208778779e-07,0.00011697792819609365,2.4727661682405155e-10,adaptive_2_6,187600421868.41263,False,17,"[99, 98, 93]",natasha-richardson,0.9579424858093262,1.8969350561345785e-07,0.041374798864126205,3,"{""classification_selection_s"": 0.01024641701951623, ""pilot_pack_s"": 0.000464125070720911, ""pilot_rollout_s"": 0.004043292021378875, ""prefix_propagation_s"": 13.357508333865553, ""selected_anchor_extension_s"": 1.6917443748097867, ""symbolic_composition_s"": 0.054922500159591436}",183462941982
