network_id,rotation_a,rotation_b,kind,mean_angle_deg,max_angle_deg,projector_distance
4420,11,97,legal,1.4041697294292257,1.5125795691213264,0.0012081349145032227
4421,3,11,exact,45.64614448403915,77.86495411672547,1.0097313808700608
4421,3,11,legal,1.5682225725336238,1.742494595308382,0.0015164056898266942
4421,3,97,exact,39.01745769715989,56.96860640388027,0.8320706218180893
4421,3,97,legal,1.6787605982661336,2.3227548158744753,0.001968699746074165
4421,11,97,exact,57.84006466907786,83.30108876371158,1.2731717580938615
4421,11,97,legal,1.6071420640635057,2.0466287474813623,0.0016906688276121518
4422,3,11,exact,44.51186386674785,74.33630163162084,0.991390563419871
4422,3,11,legal,1.7719330703534673,2.505303625028923,0.0022392551752254963
4422,3,97,exact,51.315276028941895,80.13725753485238,1.11702412105214
4422,3,97,legal,2.1042336829350616,3.1721268399770772,0.0033891723311629818
4422,11,97,exact,46.026391541066126,68.27781428518023,1.025547497688653
4422,11,97,legal,1.5931328820544404,1.777083884231367,0.0015664669936201747
4423,3,11,exact,35.85363512097739,55.41164148032696,0.7564761086694649
4423,3,11,legal,4.179221041983272,6.530527085118018,0.01395256245616916
4423,3,97,exact,48.96979171487667,73.92103021263551,1.0889674675952037
4423,3,97,legal,3.228087021785331,4.812239542981993,0.007860660636491712
4423,11,97,exact,47.064622079091244,78.52011668367402,1.0327899155152438
4423,11,97,legal,2.0028981456885795,2.909105741236808,0.00294205892010746
