network_id,rotation_a,rotation_b,kind,mean_angle_deg,max_angle_deg,projector_distance
4408,3,11,exact,32.29972026690544,59.52419813208009,0.7505999691209491
4408,3,11,legal,4.51809016763908,6.894040036275124,0.015805224662883255
4408,3,97,exact,18.37308303836985,33.28900876289919,0.30488636528887425
4408,3,97,legal,4.465759451947603,7.673692548023766,0.01831243668953486
4408,11,97,exact,35.60973062320936,68.71819150903706,0.8701679615421798
4408,11,97,legal,1.5443023625265409,1.9382111559477004,0.001546986549718632
4409,3,11,exact,47.30459439472958,89.72684971795339,1.0072209511204109
4409,3,11,legal,0.8638109741947616,1.0389320363457786,0.00047323304213708894
4409,3,97,exact,13.901939047512295,25.696257901803186,0.18936168121559405
4409,3,97,legal,0.9452165963371465,1.1497682609829354,0.0005697392409456103
4409,11,97,exact,38.61202768244713,73.04255650697164,0.920250435550076
4409,11,97,legal,1.0497293305238828,1.2841403892566141,0.0007047139603280073
4410,3,11,exact,31.26316593476591,49.754765001072236,0.6314753617975843
4410,3,11,legal,4.227909511093847,6.942241747568923,0.015306939092796013
4410,3,97,exact,24.712282497941565,40.74847006536025,0.44882412086330326
4410,3,97,legal,4.118916351881611,6.200138055839677,0.012928677364072438
4410,11,97,exact,18.17166398425675,25.20954108137386,0.21870417054734204
4410,11,97,legal,1.4974211913995181,1.8306047148053846,0.0014332969418324737
4411,3,11,exact,6.686798093396696,9.2358430732784,0.030966123836479342
4411,3,11,legal,1.997696046899529,2.270965665042475,0.002475727412434292
4411,3,97,exact,8.140145381450658,11.138109165620653,0.04534953108736417
4411,3,97,legal,2.7945308530855275,3.3130723923358234,0.004917019764108188
4411,11,97,exact,7.7955215789386525,11.85987762154542,0.04647279457778852
4411,11,97,legal,2.9877287522195193,3.2143787000267885,0.005464547685917642
4412,3,11,exact,12.769250431703284,15.55595913230486,0.10196975163446576
4412,3,11,legal,2.145607415951759,3.271844800215166,0.003573876073504234
4412,3,97,exact,26.523391320129292,44.6747005629436,0.515522220782989
4412,3,97,legal,1.2305643904494494,1.4521611775539884,0.0009523044166546146
4412,11,97,exact,24.480095420009444,45.028567031086176,0.5051998770322543
4412,11,97,legal,2.0974020059040845,3.298275194598909,0.003554978595512459
4413,3,11,exact,19.676424253397975,30.84170186274314,0.28473292390011395
4413,3,11,legal,1.5659617058584638,2.386877384657443,0.0019035393179636095
4413,3,97,exact,13.49166500344991,21.737917490280815,0.14552564836049187
4413,3,97,legal,1.4995485838246727,2.017307710702561,0.0015327328945378138
4413,11,97,exact,21.732929038342938,37.77045940848626,0.3850042854095497
4413,11,97,legal,1.5541422564417067,2.0177289553840794,0.0016018962619461785
4414,3,11,exact,34.828566969462685,61.30164019567564,0.7905258234235117
4414,3,11,legal,1.253640694701247,1.4531114647551042,0.0009815471114331675
