case_id,base_id,variant,split,orientation,orientation_seed,mse,mse_nc,ratio,ratio_nc,correction_norm,error_correction_ip,correction_cosine,oracle_scale,oracle_scale_mse,p1_p2_cos,c1_c2_cos,c2_p2_cos,p2_norm,c2_norm,nested_rel,first_layer_relerr,p2_common_cos,p2_consensus_cos
3680907127:1,3680907127,1,development,5,1021,9.470416094321295e-08,8.915647965454222e-08,0.9718881354581955,0.9701910430002455,0.0022958258272428984,7.77256402578201e-06,0.5762340651263901,1.474641438448376,9.006575011163905e-08,0.834929974659215,0.7259534929988496,0.650693599704265,0.0006906267638264636,0.006267145429738443,1.1767796482662192,0.011658759670507304,0.3743710062389857,0.8973787882925982
3680907127:1,3680907127,1,development,6,1031,1.183456420344108e-07,1.1279796074574006e-07,1.2145055109605452,1.2274550499104966,0.0016776541679487274,3.5183080852087003e-06,0.35694802559050204,1.2500546100125416,1.1765820227590489e-07,0.5893134935284351,0.29806765939112245,0.4443659439270686,0.0005690434502902428,0.004929932708097493,1.962202557565717,0.011113797084282243,0.5666041338447753,0.6710774283092322
3680907127:1,3680907127,1,development,7,1033,7.993269717718937e-08,7.438501588851864e-08,0.8202980655545372,0.8094495927621008,0.0027376052753851415,1.0775144595223703e-05,0.669924461123405,1.4377436185156705,7.432297517040719e-08,0.8625183643045833,0.8557229510404287,0.7562259869633575,0.0007994942825865019,0.007177847739951426,1.2379219106585808,0.010688086078700176,0.4431017707222373,0.8468306608141669
3680907127:2,3680907127,2,development,0,1005,7.004200980455773e-08,6.4494328515887e-08,0.5159845081072651,0.4953606120463036,0.002883482719117776,6.766481845269273e-06,0.4877273911101006,0.8138197306978612,6.891620771861545e-08,0.9186978546822943,0.6751798114579433,0.47841233977238307,0.0010301449402844282,0.005343709004872823,1.0707099037927887,0.011520847308450906,0.6286393781199475,0.8930472568353963
3680907127:2,3680907127,2,development,1,1007,1.217817200709957e-07,1.1623403878232496e-07,0.8971398893696573,0.8927570209160803,0.003172758637938418,1.0197613227464737e-06,0.0668025559733895,0.10130350360678997,9.00232039617906e-08,0.9050866787700778,0.9340125326938988,0.535059104769004,0.0009815073559445281,0.010903664989468797,0.5468436834522148,0.011637186489758698,0.7704269530063942,0.7432460123777141
3680907127:2,3680907127,2,development,2,1011,1.1025185613428962e-07,1.0470417484561888e-07,0.8122018473499398,0.8041997696363741,0.0017771938797406077,-9.584057375681564e-07,-0.11208465894383465,-0.3034448611345966,8.929071216057589e-08,0.8549932030296897,0.9505855721130787,0.43006488270742693,0.0009311262007748371,0.009274369242054416,0.734577389539763,0.011005915454390067,0.8127520998443869,0.8154860908018368
3680907127:2,3680907127,2,development,3,1013,6.681043150544971e-08,6.126275021677898e-08,0.4921781618341052,0.4705398775575745,0.0025965581404707493,6.393944660252181e-06,0.5118024968394731,0.9483590002393484,6.674019782606491e-08,0.8040973125440593,0.786830464297521,0.6434687617212882,0.001143731263855878,0.006371123467173508,0.9466185773203514,0.011289109993845017,0.819380003317689,0.9510034575230057
3680907127:2,3680907127,2,development,4,1019,8.48268619794136e-08,7.927918069074287e-08,0.6249013524149684,0.608918402178914,0.0023361228234920774,3.445519394382826e-06,0.3065424365489355,0.6313400699098725,8.19294966942558e-08,0.8378091591615604,0.437247416080442,0.4226211582520947,0.000996616082450402,0.004087567941089985,1.274800106907826,0.012342563860375234,0.7617304621177675,0.9315321619949659
3680907127:2,3680907127,2,development,5,1021,1.5774038082406015e-07,1.5219269953538942e-07,1.1620396535631548,1.1689441618460865,0.0031344427364161727,-3.7037803070162925e-06,-0.2455932672527778,-0.3769854061177266,8.497255658532497e-08,0.07841319762479568,0.2192767749129653,0.2953332042239222,0.0009379716642116079,0.005423864412822505,2.5531435856458637,0.011913714092831465,0.7361578096390262,0.8564958922735244
3680907127:2,3680907127,2,development,6,1031,1.465200302733076e-07,1.4097234898463686e-07,1.079381730469914,1.082764185341242,0.0028101831540939155,-3.231376390679571e-06,-0.23899262543180083,-0.4091836721365779,8.526179356039504e-08,0.8573871744623067,0.6377744185422985,0.6541137145627932,0.0011786525119265132,0.007861312631529477,0.9053638390559399,0.011058583796001123,0.824470892435707,0.9416741490565206
