k,subset,split,selector,mean_within_case_reward_spearman,pooled_ratio,wins,median,p90,worst,oracle_identity_accuracy_full8,mean_regret_to_oracle8
4,"[2, 7, 1, 4]",test,c2_norm_high,0.022222222222222206,1.0830977627225724,3,1.2122136042999712,1.878108840987337,2.306821617147198,0.2222222222222222,0.600944971813562
4,"[2, 7, 1, 4]",test,c2_norm_low,-0.022222222222222206,1.1310839045252952,2,1.2008536092595286,1.4239244636949842,1.4951354987944714,0.0,0.5819787098199006
4,"[2, 7, 1, 4]",test,phase_combo,-0.044444444444444425,1.3079487500379727,2,1.374729304126413,1.754565220527162,2.306821617147198,0.0,0.7194620763555515
4,"[2, 7, 1, 4]",test,c17_p2_self_consistency,0.06666666666666668,0.9452059598327164,3,1.2008536092595286,1.5862616873655295,2.306821617147198,0.3333333333333333,0.49566078250534557
4,"[2, 7, 1, 4]",test,oracle_true_error_p2_direction,0.46666666666666656,0.9509398898050392,4,1.0778513598784139,1.347824227176786,1.5269029862969346,0.1111111111111111,0.40858018998278106
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,p2_consensus,0.17195767195767198,0.9860897086055371,10,0.9434981065895764,1.679020172999752,1.956360983783425,0.05555555555555555,0.35904585235879555
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,p2_common,0.08333333333333334,1.0005369571232945,6,1.1065502108112457,1.8638969805460628,4.4069030533005815,0.1111111111111111,0.5475103175386994
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,first_layer,-0.022486772486772496,1.0254711723504035,8,1.0318782641280366,1.6174192146576476,1.633622088937383,0.16666666666666666,0.36446973790573767
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,p1_p2,0.22883597883597886,1.1034586558077595,10,0.9021117570854684,2.0215877927725194,2.3211644291891385,0.2777777777777778,0.3680316805638537
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,c1_c2,0.15873015873015875,0.9368502554346846,12,0.9515468541596386,1.71871822823612,2.3211644291891385,0.2777777777777778,0.3411317827886156
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,c2_p2,0.14550264550264552,0.8822035356112803,8,1.01993179857211,1.549926803462204,2.3211644291891385,0.2777777777777778,0.29480305769049814
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,nested_rel,0.05820105820105822,0.9875219545740264,9,0.9785057974911031,1.6534489025744794,4.4069030533005815,0.05555555555555555,0.4918234446698187
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,p2_norm_high,0.1653439153439154,0.8570348415166125,8,1.01993179857211,1.549926803462204,2.3211644291891385,0.2222222222222222,0.28869435481990585
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,p2_norm_low,-0.1653439153439154,1.0692127039335237,8,1.129845152584909,1.8330172880132611,2.670790437332422,0.1111111111111111,0.45803715209000956
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,c2_norm_high,0.01455026455026456,1.0328566474844683,8,1.0147029763266708,1.8121296240526792,2.670790437332422,0.05555555555555555,0.41082383110574994
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,c2_norm_low,-0.01455026455026456,1.0261115582704292,9,1.0732251293182147,1.7431709177588655,2.0481088515923345,0.1111111111111111,0.4138162928669491
8,"[2, 7, 1, 4, 3, 5, 0, 6]",development,phase_combo,0.2195767195767196,1.1138562152291058,8,1.03796982916381,2.037805988946563,2.3211644291891385,0.2777777777777778,0.43561643000229566
